,0
CPU1,45.603305785123965
CPU2,47.96694214876033
CPU3,49.27272727272727
CPU4,61.15702479338843
GPU,15.190082644628099
RAM,3432753.0247933883
EMC,3432753.0247933883
IRAM,3432753.0247933883
SWAP,1873.4132231404958
APE,25.0
Temp AO,58.19421487603306
Temp CPU,52.14049586776859
Temp GPU,49.260330578512395
Temp PLL,48.756198347107436
Temp thermal,50.700413223140494
power cur,4190.570247933884
power avg,4000.4214876033056
