{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 2, 'CPU2': 3, 'CPU3': 96, 'CPU4': 3, 'GPU': 0, 'RAM': 3270544, 'EMC': 3270544, 'IRAM': 3270544, 'SWAP': 286, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 46.5, 'Temp CPU': 40.0, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 40.25, 'power cur': 2724, 'power avg': 3128}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 35, 'CPU2': 26, 'CPU3': 26, 'CPU4': 100, 'GPU': 25, 'RAM': 3314184, 'EMC': 3314184, 'IRAM': 3314184, 'SWAP': 333, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 47.5, 'Temp CPU': 42.0, 'Temp GPU': 39.0, 'Temp PLL': 39.0, 'Temp thermal': 40.75, 'power cur': 3774, 'power avg': 3141}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 6, 'CPU2': 6, 'CPU3': 7, 'CPU4': 100, 'GPU': 0, 'RAM': 3222804, 'EMC': 3222804, 'IRAM': 3222804, 'SWAP': 333, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 47.5, 'Temp CPU': 42.0, 'Temp GPU': 41.5, 'Temp PLL': 39.5, 'Temp thermal': 41.5, 'power cur': 3251, 'power avg': 3169}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 10, 'CPU2': 100, 'CPU3': 10, 'CPU4': 12, 'GPU': 0, 'RAM': 3223116, 'EMC': 3223116, 'IRAM': 3223116, 'SWAP': 333, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 47.5, 'Temp CPU': 42.5, 'Temp GPU': 41.5, 'Temp PLL': 39.5, 'Temp thermal': 41.75, 'power cur': 2724, 'power avg': 3145}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 27, 'CPU2': 28, 'CPU3': 25, 'CPU4': 98, 'GPU': 25, 'RAM': 3303664, 'EMC': 3303664, 'IRAM': 3303664, 'SWAP': 334, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 48.5, 'Temp CPU': 43.0, 'Temp GPU': 40.0, 'Temp PLL': 40.5, 'Temp thermal': 41.5, 'power cur': 3774, 'power avg': 3151}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 6, 'CPU2': 4, 'CPU3': 100, 'CPU4': 7, 'GPU': 0, 'RAM': 3209104, 'EMC': 3209104, 'IRAM': 3209104, 'SWAP': 334, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 48.5, 'Temp CPU': 42.5, 'Temp GPU': 42.0, 'Temp PLL': 40.0, 'Temp thermal': 42.75, 'power cur': 2724, 'power avg': 3173}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 8, 'CPU2': 12, 'CPU3': 14, 'CPU4': 100, 'GPU': 0, 'RAM': 3209968, 'EMC': 3209968, 'IRAM': 3209968, 'SWAP': 334, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 48.0, 'Temp CPU': 42.5, 'Temp GPU': 42.0, 'Temp PLL': 40.0, 'Temp thermal': 42.25, 'power cur': 2724, 'power avg': 3154}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 98, 'CPU2': 18, 'CPU3': 30, 'CPU4': 18, 'GPU': 12, 'RAM': 3308756, 'EMC': 3308756, 'IRAM': 3308756, 'SWAP': 337, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 49.5, 'Temp CPU': 44.5, 'Temp GPU': 41.0, 'Temp PLL': 40.5, 'Temp thermal': 42.0, 'power cur': 3938, 'power avg': 3160}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 4, 'CPU2': 98, 'CPU3': 4, 'CPU4': 7, 'GPU': 0, 'RAM': 3212040, 'EMC': 3212040, 'IRAM': 3212040, 'SWAP': 337, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 49.0, 'Temp CPU': 43.0, 'Temp GPU': 42.5, 'Temp PLL': 40.5, 'Temp thermal': 43.0, 'power cur': 2724, 'power avg': 3182}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 14, 'CPU2': 15, 'CPU3': 98, 'CPU4': 8, 'GPU': 0, 'RAM': 3212144, 'EMC': 3212144, 'IRAM': 3212144, 'SWAP': 337, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 49.0, 'Temp CPU': 43.5, 'Temp GPU': 42.5, 'Temp PLL': 40.5, 'Temp thermal': 43.75, 'power cur': 3091, 'power avg': 3166}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 12, 'CPU2': 82, 'CPU3': 33, 'CPU4': 16, 'GPU': 20, 'RAM': 3276116, 'EMC': 3276116, 'IRAM': 3276116, 'SWAP': 386, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.0, 'Temp CPU': 44.5, 'Temp GPU': 41.5, 'Temp PLL': 41.5, 'Temp thermal': 42.75, 'power cur': 3574, 'power avg': 3168}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 13, 'CPU2': 98, 'CPU3': 11, 'CPU4': 14, 'GPU': 0, 'RAM': 3179352, 'EMC': 3179352, 'IRAM': 3179352, 'SWAP': 386, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.0, 'Temp CPU': 44.0, 'Temp GPU': 43.5, 'Temp PLL': 41.5, 'Temp thermal': 43.75, 'power cur': 2765, 'power avg': 3186}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 12, 'CPU2': 8, 'CPU3': 14, 'CPU4': 98, 'GPU': 0, 'RAM': 3180448, 'EMC': 3180448, 'IRAM': 3180448, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.0, 'Temp CPU': 44.0, 'Temp GPU': 43.5, 'Temp PLL': 41.5, 'Temp thermal': 44.0, 'power cur': 2967, 'power avg': 3173}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 28, 'CPU2': 100, 'CPU3': 26, 'CPU4': 21, 'GPU': 24, 'RAM': 3304760, 'EMC': 3304760, 'IRAM': 3304760, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.5, 'Temp CPU': 44.5, 'Temp GPU': 41.5, 'Temp PLL': 42.0, 'Temp thermal': 43.25, 'power cur': 3574, 'power avg': 3173}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 98, 'CPU2': 17, 'CPU3': 11, 'CPU4': 10, 'GPU': 0, 'RAM': 3208664, 'EMC': 3208664, 'IRAM': 3208664, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.5, 'Temp CPU': 46.0, 'Temp GPU': 43.5, 'Temp PLL': 41.5, 'Temp thermal': 44.25, 'power cur': 2807, 'power avg': 3192}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 6, 'CPU2': 96, 'CPU3': 4, 'CPU4': 2, 'GPU': 0, 'RAM': 3208816, 'EMC': 3208816, 'IRAM': 3208816, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.5, 'Temp CPU': 45.5, 'Temp GPU': 43.5, 'Temp PLL': 41.5, 'Temp thermal': 44.0, 'power cur': 3091, 'power avg': 3181}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 22, 'CPU2': 28, 'CPU3': 100, 'CPU4': 26, 'GPU': 24, 'RAM': 3302564, 'EMC': 3302564, 'IRAM': 3302564, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.0, 'Temp CPU': 45.0, 'Temp GPU': 42.5, 'Temp PLL': 42.0, 'Temp thermal': 44.0, 'power cur': 3897, 'power avg': 3182}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 9, 'CPU2': 100, 'CPU3': 7, 'CPU4': 11, 'GPU': 0, 'RAM': 3209088, 'EMC': 3209088, 'IRAM': 3209088, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.5, 'Temp CPU': 45.0, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 44.5, 'power cur': 3374, 'power avg': 3199}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 13, 'CPU2': 8, 'CPU3': 100, 'CPU4': 4, 'GPU': 0, 'RAM': 3208332, 'EMC': 3208332, 'IRAM': 3208332, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 50.5, 'Temp CPU': 44.0, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 44.25, 'power cur': 2765, 'power avg': 3189}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 23, 'CPU2': 100, 'CPU3': 25, 'CPU4': 23, 'GPU': 19, 'RAM': 3302904, 'EMC': 3302904, 'IRAM': 3302904, 'SWAP': 385, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.0, 'Temp CPU': 45.0, 'Temp GPU': 42.5, 'Temp PLL': 42.5, 'Temp thermal': 44.0, 'power cur': 3574, 'power avg': 3189}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 10, 'CPU2': 15, 'CPU3': 8, 'CPU4': 98, 'GPU': 0, 'RAM': 3216072, 'EMC': 3216072, 'IRAM': 3216072, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.0, 'Temp CPU': 45.5, 'Temp GPU': 45.0, 'Temp PLL': 42.5, 'Temp thermal': 44.75, 'power cur': 3456, 'power avg': 3205}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 98, 'CPU2': 16, 'CPU3': 10, 'CPU4': 12, 'GPU': 0, 'RAM': 3215316, 'EMC': 3215316, 'IRAM': 3215316, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.0, 'Temp CPU': 46.5, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 45.25, 'power cur': 2765, 'power avg': 3195}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 21, 'CPU2': 27, 'CPU3': 21, 'CPU4': 100, 'GPU': 14, 'RAM': 3311824, 'EMC': 3311824, 'IRAM': 3311824, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.5, 'Temp CPU': 46.0, 'Temp GPU': 43.0, 'Temp PLL': 43.0, 'Temp thermal': 44.5, 'power cur': 4055, 'power avg': 3195}
{'jetson_clocks': 'OFF', 'nvp model': 'MAXN', 'CPU1': 4, 'CPU2': 100, 'CPU3': 3, 'CPU4': 3, 'GPU': 0, 'RAM': 3214892, 'EMC': 3214892, 'IRAM': 3214892, 'SWAP': 384, 'APE': 25, 'NVENC': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'fan': 0.0, 'Temp AO': 51.0, 'Temp CPU': 45.0, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 45.0, 'power cur': 2765, 'power avg': 3208}
